name,outlet1,outlet2,outlet3,outlet4,switch1,switch2,sensor1,sensor2,outlet5,outlet6,outlet7,outlet8,switch3,switch4,sensor3,sensor4
location,buc?t?rie,baie,sufragerie,dorm,sufragerie,baie,sufragerie,baie,buc?t?rie,baie,sufragerie,dorm,sufragerie,baie,sufragerie,baie
values,0.1,0.2,0.3,0.4,0.6,0.3,0,0,0.5,0.2,0.3,0.4,0.6,0.3,0,0
values,0.1,0.4,0.6,0.8,1.2,0.6,1,1,1,0.4,0.6,0.8,1.2,0.6,1,1
values,0.1,0.6,0.9,1.2,1.8,0.9,0,0,1.5,0.6,0.9,1.2,1.8,0.9,0,0
values,0.1,0.8,1.2,1.6,2.4,1.2,1,1,2,0.8,1.2,1.6,2.4,1.2,1,1
values,0.1,1,1.5,2,3,1.5,0,0,2.5,1,1.5,2,3,1.5,0,0
values,0.1,1.2,1.8,2.4,3.6,1.8,1,1,3,1.2,1.8,2.4,3.6,1.8,1,1
values,0.1,1.4,2.1,2.8,4.2,2.1,0,0,3.5,1.4,2.1,2.8,4.2,2.1,0,0
values,0.1,1.6,2.4,3.2,4.8,2.4,1,1,4,1.6,2.4,3.2,4.8,2.4,1,1
values,0.1,1.8,2.7,3.6,5.4,2.7,0,0,4.5,1.8,2.7,3.6,5.4,2.7,0,0
values,0.1,2,3,4,6,3,1,1,5,2,3,4,6,3,1,1
values,0.1,2.2,3.3,4.4,6.6,3.3,0,0,5.5,2.2,3.3,4.4,6.6,3.3,0,0
values,0.1,2.4,3.6,4.8,7.2,3.6,1,1,6,2.4,3.6,4.8,7.2,3.6,1,1
values,0.1,2.6,3.9,5.2,7.8,3.9,0,0,6.5,2.6,3.9,5.2,7.8,3.9,0,0
values,0.1,2.8,4.2,5.6,8.4,4.2,1,1,7,2.8,4.2,5.6,8.4,4.2,1,1
values,0.1,3,4.5,6,9,4.5,0,0,7.5,3,4.5,6,9,4.5,0,0
